Unnamed: 0,User_Id,product_Id,title,category,rating,price,description,image
0,5332,4c69b61db1fc16e7013b43fc926e502d,DB Longboards CoreFlex Crossbow 41 Bamboo Fiberglass Longboard Complete,Sports & Outdoors ,5,$237.68,RESPONSIVE FLEX The Crossbow features a bamboo core encased in triaxial fiberglass and HD plastic for a responsive flex pattern thats second to none Pumping  carving have never been so satisfying Flex 2 is recommended for people 120 to 170 pounds  COREFLEX TECH CoreFlex construction is water resistant impact resistant scratch resistant and has a flex like you wont believe These boards combine fiberglass epoxy HD plastic and bamboo to create a perfect blend of performance and strength  INSPIRED BY THE NORTHWEST Our founding ideal is chasing adventure  riding the best boards possible inspired by the hills waves beaches  mountains all around our headquarters in the Northwest  BEST IN THE WORLD DB was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world to do it sustainably  to treat customers  employees like family  BEYOND COMPARE Try our skateboards  accessories if youve tried similar products by Sector 9 Landyachtz Arbor Loaded Globe Orangatang Hawgs PowellPeralta Blood Orange Caliber or Gullwing,a
1,5272,66d49bbed043f5be260fa9f7fbff5957,Electronic Snap Circuits Mini Kits Classpack FM Radio Motion Detector Music Box Set of 5,Toys & Games ,4,$99.95,Snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 26  Includes 5 separate mini building kits an FM radio a motion detector music box space battle sound effects and a flying saucer  Each kit includes separate components and instructions to build  Each component represents one function in a circuit components snap together to create working models of everyday electronic devices  Activity guide provides additional projects to teach students how circuitry works,a
2,5336,2c55cae269aebf53838484b0d7dd931a,3Doodler Create Flexy 3D Printing Filament Refill Bundle X5 Pack Over 1000 of Extruded Plastics  Innovate,Toys & Games ,4,$34.99,Smooth 3D drawing experienced the best 3D drawing experience by only using 3Doodler Create Plastics with 3Doodler Create and create 3D Printing pen  Safe to usethe 3Doodler Create Plastics conforms to the health requirements of ASTMD4236  require no additional labelling in accordance with the US Consumer Product safety Commissions Regulations as mandated by Labeling of Hazardous Art Materials Act LHAMA  3Doodler very own Type of plasticthe FLEXY plastic takes creativity to new levels You can make flexible fun 3D creations  Environmentally friendly3doodler create Plastic is made of corn and are 100 compostable  125 strands of drawing funthis bundle includes 5 refill filament packs thats a total of 1043 ft Of 3D drawing and doodling fun  The 3Doodler appget an interactive experience The app is packed with dedicated easy to follow stencil section and step by step interactive instructions receive badges for completed projects and photograph  share YOUR creations directly on social media The app is fully built on iOS  Android  All your favorite colorsthis pack includes green blue pink orange  yellow,a
3,5318,18018b6bc416dab347b1b7db79994afa,Guillow Airplane Design Studio with Travel Case Building Kit,Toys & Games ,1,$28.91,Make 8 different Planes at one time  Experiment with different designs and learn about flight  All contained in Part trays inside an attractive box with carry handle  Guillows  your one source for flying toys since 1926  Made in the USA,a
4,5377,e04b990e95bf73bbe6a3fa09785d7cd0,Woodstock Collage 500 pc Puzzle,Toys & Games ,5,$17.49,Puzzle has 500 pieces  Completed puzzle measure 14 x 19  100 officially licensed merchandise  Great for fans  puzzlers alike,a
5,5123,40d3cd16b41970ae6872e914aecf2c8e,Rubies Childs Pokemon Deluxe Pikachu Costume XSmall,"Clothing, Shoes & Jewelry ",5,$29.12,Polyester  Deluxe Pokemon childs Pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face  Officially licensed Pokemon costume look for trademark on packaging and label to help assure youve received authentic safetytested item  Important Costumes are sized differently than apparel use the Rubies Child Size Chart do not choose based on childs age or clothing size  Group costume fun coordinate with additional Pokemon costumes and accessories available from Rubies  Familyowned familyfocused and based in the USA Since 1951 Rubies has classic and licensed costumes and accessories in sizes and styles for your entire family,a
6,5397,cc2083338a16c3fe2f7895289d2e98fe,ARTSCAPE Etched Glass 24 x 36 Window Film 24by36Inch,Home & Kitchen ,3,$12.99,The visual effect of textured glass and stained glass  Creates privacy  Provides UV protection  No adhesives  Applies easily  Patterns repeat to cover any size window  Made in USA,a
7,5011,7b0746d8afc8462ba17f8a763d9d5f1e,Moonlite 3Story Bundle for Boys Includes 3 Story Reels for Use with Storybook Projector,Toys & Games ,2,$18.16,3 story reels make reading even more magical with the Moonlite story reels bundle With 3 story reels included in this set read adventurefilled tales about Pirates Dragon and a TRex to your little boy any time of day and enjoy them again and again  Easytouse portable storybook projector The tales included in this 3pack come alive with Moonlite Clip the projector sold separately onto your smartphone not included slide in one of the sets story reels and project vibrant images onto any surface Moonlite is lightweight and small enough to carry with you wherever you go  Develop a love of learning adored by children and adults awardwinning Moonlite and the story reels create an immersive reading experience that instills a love of learning at a young age As kids follow along to their favorite stories they develop their imagination creativity and language skills  The Moonlite 3story bundle makes a great gift for boys aged 3 and up and includes 3 story reels Read tales like how to be a pirate there was an old Dragon who swallowed a Knight and Im a TRex Works with the Moonlite storybook projector sold separately  Includes 3 story reels 1 activation card 1 quick start guide,a
8,5318,c5f4c94653a3befd8dd16adf2914c04e,DC Cover Girls Black Canary by Jolle Jones Statue,Toys & Games ,5,$84.61,Designed by Joelle Jones  Sculpted by Jack Mathews  Rebirthera character design  Limited to 5 000 pieces  Individually numbered,a
9,5366,615ba903c134f439eaf8cdd1678ceb5c,Baby Doll Bedding Chevron Window Valance and Curtain Set Orange,Baby Products ,5,$33.92,Fits most standard sized windows  Modern chevron design  Fabric content chevron and solid poly fabric,a
